Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Dribble,right,11,1130,play_on,-30.9446,32.8668,right,11,1133,-33.5751,32.5926,true
Interception,right,11,1135,play_on,-33.9349,32.2482,left,3,1137,-35.9731,26.7757,true
Pass,left,3,1137,play_on,-35.9731,26.7757,left,6,1148,-33.7734,19.3913,true
Pass,left,6,1148,play_on,-33.7734,19.3913,left,8,1154,-23.6652,20.3691,true
Pass,left,8,1157,play_on,-23.1039,20.7985,left,10,1167,-9.208,30.0654,true
Dribble,left,10,1167,play_on,-9.208,30.0654,left,10,1172,-5.8992,27.5406,true
Dribble,left,10,1172,play_on,-5.8992,27.5406,left,10,1179,-1.5718,28.6257,true
Dribble,left,10,1179,play_on,-1.5718,28.6257,left,10,1184,3.0051,29.5322,true
Dribble,left,10,1184,play_on,3.0051,29.5322,left,10,1190,5.462,26.8783,true
Dribble,left,10,1190,play_on,5.462,26.8783,left,10,1193,6.9263,25.2351,true
Dribble,left,10,1194,play_on,7.2014,26.0585,left,10,1196,7.4035,24.7196,true
Dribble,left,10,1196,play_on,7.4035,24.7196,left,10,1200,6.661,22.5503,true
Pass,left,10,1200,play_on,6.661,22.5503,left,11,1205,9.7682,12.7977,true
Dribble,left,11,1208,play_on,9.8789,12.6103,left,11,1212,8.7141,10.1899,true
Pass,left,11,1214,play_on,8.0746,10.091,left,7,1220,6.556,-4.1171,true
Dribble,left,7,1223,play_on,7.3379,-3.6972,left,7,1229,5.3492,-0.8812,true
Pass,left,7,1229,play_on,5.3492,-0.8812,left,11,1233,10.1142,4.7696,true
Dribble,left,11,1234,play_on,10.8331,4.6359,left,11,1237,11.5266,3.9219,true
Pass,left,11,1239,play_on,11.8747,4.1868,left,7,1244,7.5725,-4.0924,true
Dribble,left,7,1244,play_on,7.5725,-4.0924,left,7,1249,10.0633,-6.0628,true
Pass,left,7,1251,play_on,10.2906,-6.3298,left,9,1269,36.0619,-24.9798,true
Dribble,left,9,1269,play_on,36.0619,-24.9798,left,9,1287,51.9235,-25.8578,true
Dribble,left,9,1290,play_on,51.899,-25.8715,left,9,1294,48.8789,-25.2235,true
Dribble,left,9,1294,play_on,48.8789,-25.2235,left,9,1305,41.0349,-21.0626,true
Dribble,left,9,1305,play_on,41.0349,-21.0626,left,9,1308,41.3117,-19.7308,true
Dribble,left,9,1308,play_on,41.3117,-19.7308,left,9,1310,40.9123,-18.8656,true
MultiTouch,left,9,1310,play_on,40.9123,-18.8656,neutral,-1,1316,36.1116,-5.879,false
Pass,left,7,1321,play_on,31.8081,-10.5495,left,8,1329,28.2235,-1.1534,true
Pass,left,8,1330,play_on,28.2313,-1.2623,left,7,1335,30.369,-11.1173,true
Pass,left,7,1337,play_on,29.7576,-9.7639,left,8,1341,28.054,-1.1131,true
Pass,left,8,1344,play_on,28.1119,-1.3218,left,7,1348,27.8636,-11.1855,true
Pass,left,7,1348,play_on,27.8636,-11.1855,left,4,1361,34.34,-28.3117,true
Dribble,left,4,1365,play_on,34.4054,-27.6954,left,4,1368,32.2625,-26.9178,true
Pass,left,4,1370,play_on,32.2469,-26.7451,left,7,1376,27.0331,-13.229,true
Dribble,left,7,1378,play_on,27.6429,-12.6265,left,7,1382,29.8375,-12.2808,true
Dribble,left,7,1382,play_on,29.8375,-12.2808,left,7,1386,31.131,-11.1906,true
Pass,left,7,1387,play_on,31.5029,-11.8258,left,9,1390,36.1344,-17.9408,true
Dribble,left,9,1390,play_on,36.1344,-17.9408,left,9,1394,38.5316,-17.8039,true
Dribble,left,9,1394,play_on,38.5316,-17.8039,left,9,1399,43.0322,-17.7918,true
Dribble,left,9,1402,play_on,42.998,-18.4821,left,9,1406,45.7038,-17.6215,true
Dribble,left,9,1406,play_on,45.7038,-17.6215,left,9,1410,47.9771,-17.0223,true
Dribble,left,9,1410,play_on,47.9771,-17.0223,left,9,1412,49.2217,-17.0714,true
Pass,left,9,1412,play_on,49.2217,-17.0714,left,4,1423,39.8704,-29.9513,true
Pass,left,4,1423,play_on,39.8704,-29.9513,left,9,1428,42.3524,-24.8043,true
Pass,left,9,1428,play_on,42.3524,-24.8043,left,4,1433,39.6907,-28.2552,true
Pass,left,4,1435,play_on,40.1042,-28.7559,left,9,1438,43.8283,-23.2349,true
Dribble,left,9,1438,play_on,43.8283,-23.2349,left,9,1441,43.9822,-21.5908,true
Dribble,left,9,1441,play_on,43.9822,-21.5908,left,9,1445,46.5578,-19.9047,true
Dribble,left,9,1445,play_on,46.5578,-19.9047,left,9,1449,46.5435,-17.2149,true
Dribble,left,9,1449,play_on,46.5435,-17.2149,left,9,1451,47.0294,-16.646,true
Dribble,left,9,1451,play_on,47.0294,-16.646,left,9,1453,47.3811,-16.339,true
Interception,left,9,1453,play_on,47.3811,-16.339,right,3,1454,47.9361,-13.701,true
OutOfBounds,right,3,1454,play_on,47.9361,-13.701,neutral,-1,1457,51.5,-33,false
Pass,left,10,1554,corner_kick_l,51.5,-33,left,7,1558,41.9341,-30.9402,true
Pass,left,7,1559,play_on,41.239,-31.0926,left,5,1566,35.0613,-17.4489,true
Dribble,left,5,1566,play_on,35.0613,-17.4489,left,5,1568,35.4533,-16.2582,true
Pass,left,5,1568,play_on,35.4533,-16.2582,left,8,1571,33.8948,-13.011,true
Pass,left,8,1573,play_on,34.0901,-12.9764,left,9,1578,41.7634,-3.9782,true
Pass,right,1,1644,free_kick_r,42.6271,9.9044,right,2,1652,31.1919,12.9567,true
Dribble,right,2,1652,play_on,31.1919,12.9567,right,2,1658,27.6834,14.7751,true
Pass,right,2,1658,play_on,27.6834,14.7751,right,7,1661,24.3368,14.0388,true
Pass,right,7,1662,play_on,24.5493,13.1873,right,6,1666,29.504,7.2244,true
Pass,right,6,1666,play_on,29.504,7.2244,right,8,1673,25.2163,-3.6568,true
Pass,right,8,1677,play_on,25.2861,-3.8262,right,11,1684,9.9091,-1.4626,true
Pass,right,11,1685,play_on,9.2829,-2.1227,right,10,1691,4.4637,-15.4073,true
Dribble,right,10,1691,play_on,4.4637,-15.4073,right,10,1697,2.3787,-18.0403,true
Dribble,right,10,1697,play_on,2.3787,-18.0403,right,10,1703,-1.5773,-20.6188,true
Pass,right,10,1704,play_on,-1.5586,-20.0473,right,11,1709,-5.5663,-9.6222,true
Dribble,right,11,1710,play_on,-6.2199,-9.4088,right,11,1713,-5.9732,-7.7462,true
Dribble,right,11,1713,play_on,-5.9732,-7.7462,right,11,1717,-6.6778,-5.0997,true
Dribble,right,11,1717,play_on,-6.6778,-5.0997,right,11,1722,-9.7957,-4.4821,true
Pass,right,11,1722,play_on,-9.7957,-4.4821,right,9,1730,-13.439,1.5263,true
MultiTouch,right,9,1730,play_on,-13.439,1.5263,neutral,-1,1735,-16.836,2.0627,false
Pass,left,3,1739,play_on,-25.0506,9.1935,left,5,1746,-12.667,14.9317,true
Dribble,left,5,1746,play_on,-12.667,14.9317,left,5,1751,-11.3474,14.3302,true
Pass,left,5,1753,play_on,-10.5004,13.6122,left,9,1775,20.0354,31.7514,true
Dribble,left,9,1775,play_on,20.0354,31.7514,left,9,1780,22.6255,32.7052,true
Pass,left,9,1784,play_on,23.3878,32.8625,left,11,1791,17.5076,15.4389,true
Pass,left,11,1794,play_on,18.8661,14.919,left,9,1808,39.2593,23.0703,true
Dribble,left,9,1809,play_on,39.5843,23.6647,left,9,1815,43.0975,20.4965,true
Dribble,left,9,1815,play_on,43.0975,20.4965,left,9,1821,46.2412,18.3705,true
Dribble,left,9,1821,play_on,46.2412,18.3705,left,9,1825,47.4451,16.1271,true
Pass,left,9,1825,play_on,47.4451,16.1271,left,10,1829,43.4895,7.0319,true
MultiTouch,left,10,1829,play_on,43.4895,7.0319,neutral,-1,1834,44.0149,3.2928,false
Pass,right,1,1836,play_on,48.749,-0.1193,right,5,1837,49.4565,-3.036,true
Pass,right,5,1841,play_on,49.0816,-3.8272,right,8,1848,34.513,-2.6376,true
Interception,right,8,1848,play_on,34.513,-2.6376,left,7,1849,34.9296,-2.8082,true
Interception,left,7,1849,play_on,34.9296,-2.8082,right,5,1853,45.3782,-4.223,true
Pass,right,5,1855,play_on,44.6695,-4.8399,right,10,1864,24.3393,-9.18,true
Pass,right,10,1866,play_on,23.5719,-9.4514,right,11,1872,14.63,-5.8396,true
Dribble,right,11,1872,play_on,14.63,-5.8396,right,11,1878,11.4954,-7.7655,true
Dribble,right,11,1878,play_on,11.4954,-7.7655,right,11,1886,5.0148,-9.1182,true
Dribble,right,11,1886,play_on,5.0148,-9.1182,right,11,1894,0.0642,-5.6409,true
Dribble,right,11,1894,play_on,0.0642,-5.6409,right,11,1897,-1.98,-4.4536,true
Dribble,right,11,1897,play_on,-1.98,-4.4536,right,11,1902,-4.9905,-6.3278,true
Pass,right,11,1904,play_on,-4.3331,-6.4514,right,10,1910,-9.3248,-16.0118,true
Dribble,right,10,1910,play_on,-9.3248,-16.0118,right,10,1918,-9.7184,-16.6411,true
Dribble,right,10,1918,play_on,-9.7184,-16.6411,right,10,1923,-12.6416,-16.4684,true
Dribble,right,10,1923,play_on,-12.6416,-16.4684,right,10,1927,-14.6044,-17.3837,true
Pass,right,10,1929,play_on,-14.8036,-16.8542,right,11,1932,-16.2094,-8.6489,true
Pass,right,11,1933,play_on,-16.4556,-8.3888,right,9,1937,-17.6329,0.201,true
Dribble,right,9,1937,play_on,-17.6329,0.201,right,9,1943,-21.7054,0.3978,true
Dribble,right,9,1943,play_on,-21.7054,0.3978,right,9,1948,-22.5473,3.1109,true
Dribble,right,9,1948,play_on,-22.5473,3.1109,right,9,1952,-24.0951,5.598,true
Dribble,right,9,1952,play_on,-24.0951,5.598,right,9,1958,-27.971,5.0011,true
Dribble,right,9,1958,play_on,-27.971,5.0011,right,9,1960,-29.4762,4.5351,true
Dribble,right,9,1960,play_on,-29.4762,4.5351,right,9,1966,-33.2101,3.4889,true
Dribble,right,9,1967,play_on,-33.6806,3.5032,right,9,1970,-35.0555,3.4552,true
Interception,right,9,1970,play_on,-35.0555,3.4552,left,3,1971,-35.8637,3.3395,true
Interception,left,3,1971,play_on,-35.8637,3.3395,right,9,1972,-36.8657,3.9574,true
Shoot,right,9,1972,play_on,-36.8657,3.9574,neutral,-1,1979,-54.2426,5.105,true
Interception,right,9,1972,play_on,-36.8657,3.9574,left,11,2004,0,0,true
Pass,left,11,2004,kick_off_l,0,0,left,7,2005,-0.557,-1.7507,true
Pass,left,7,2005,play_on,-0.557,-1.7507,left,8,2009,-4.3834,6.1264,true
Pass,left,8,2009,play_on,-4.3834,6.1264,left,7,2013,0.054,-2.7305,true
Dribble,left,7,2014,play_on,0.4802,-3.5017,left,7,2016,0.7768,-4.1018,true
Pass,left,7,2017,play_on,-0.2036,-4.9459,left,2,2023,-9.3562,-15.868,true
Pass,left,2,2024,play_on,-9.32,-16.8226,left,4,2029,-3.068,-27.8065,true
Pass,left,4,2032,play_on,-2.5651,-28.3161,left,10,2058,35.1298,-27.378,true
Dribble,left,10,2058,play_on,35.1298,-27.378,left,10,2071,43.2422,-19.0132,true
Dribble,left,10,2071,play_on,43.2422,-19.0132,left,10,2076,45.4462,-16.0622,true
Pass,left,10,2076,play_on,45.4462,-16.0622,left,11,2079,41.5144,-10.8721,true
Pass,left,11,2079,play_on,41.5144,-10.8721,left,9,2083,40.9153,-1.3161,true
Interception,left,9,2085,play_on,41.1977,-1.3811,right,2,2086,43.091,-0.0251,true
OutOfBounds,right,2,2086,play_on,43.091,-0.0251,neutral,-1,2114,35.9284,34,false
Pass,left,5,2211,kick_in_l,35.9284,34,left,9,2214,42.2536,29.4261,true
Dribble,left,9,2214,play_on,42.2536,29.4261,left,9,2219,45.8266,28.5155,true
Dribble,left,9,2219,play_on,45.8266,28.5155,left,9,2222,47.2454,27.3128,true
Pass,left,9,2222,play_on,47.2454,27.3128,left,5,2232,34.2274,30.6909,true
Dribble,left,5,2232,play_on,34.2274,30.6909,left,5,2237,37.4941,30.3353,true
Dribble,left,5,2240,play_on,37.0282,30.8936,left,5,2243,35.2583,31.4189,true
Interception,left,5,2243,play_on,35.2583,31.4189,right,4,2244,34.4907,31.3253,true
Interception,right,4,2244,play_on,34.4907,31.3253,left,9,2342,35.7107,30.1321,true
Pass,left,9,2342,free_kick_l,35.7107,30.1321,left,5,2345,28.6355,32.642,true
Pass,left,5,2346,play_on,29.0476,32.0121,left,11,2354,46.7272,28.5007,true
Dribble,left,11,2354,play_on,46.7272,28.5007,left,11,2360,50.749,28.3021,true
Pass,left,11,2362,play_on,50.956,26.9943,left,9,2365,48.1433,20.6887,true
Interception,left,9,2366,play_on,47.9685,20.0997,right,2,2370,45.7497,10.2882,true
MultiTouch,right,2,2372,play_on,45.9797,10.654,neutral,-1,2373,45.9899,10.651,false
Interception,right,2,2374,play_on,45.6207,9.8319,left,8,2381,32.4481,8.3082,true
Dribble,left,8,2382,play_on,32.896,7.9934,left,8,2387,33.6962,6.2903,true
Pass,left,8,2387,play_on,33.6962,6.2903,left,7,2395,30.945,-7.2689,true
